city,state_id,state_name,county_name
Poughkeepsie,NY,New York,Dutchess
Augusta,GA,Georgia,Richmond
Boise,ID,Idaho,Ada
Oxnard,CA,California,Ventura
Scranton,PA,Pennsylvania,Lackawanna
Modesto,CA,California,Stanislaus
Kissimmee,FL,Florida,Osceola
Aurora,CO,Colorado,Adams
Youngstown,OH,Ohio,Mahoning
Fayetteville,AR,Arkansas,Washington
Anaheim,CA,California,Orange
Pensacola,FL,Florida,Escambia
Victorville,CA,California,San Bernardino
Lancaster,CA,California,Los Angeles
Greensboro,NC,North Carolina,Guilford
Corpus Christi,TX,Texas,Nueces
Fort Wayne,IN,Indiana,Allen
Santa Ana,CA,California,Orange
Flint,MI,Michigan,Genesee
Fayetteville,NC,North Carolina,Cumberland
Jackson,MS,Mississippi,Hinds
Santa Rosa,CA,California,Sonoma
Lansing,MI,Michigan,Ingham
San Juan,PR,Puerto Rico,San Juan
Lexington,KY,Kentucky,Fayette
Ann Arbor,MI,Michigan,Washtenaw
Henderson,NV,Nevada,Clark
Huntsville,AL,Alabama,Madison
Mobile,AL,Alabama,Mobile
Fort Collins,CO,Colorado,Larimer
Asheville,NC,North Carolina,Buncombe
Santa Clarita,CA,California,Los Angeles
St. Paul,MN,Minnesota,Ramsey
Antioch,CA,California,Contra Costa
Lakeland,FL,Florida,Polk
Trenton,NJ,New Jersey,Mercer
Lincoln,NE,Nebraska,Lancaster
Springfield,MO,Missouri,Greene
Anchorage,AK,Alaska,Anchorage
Plano,TX,Texas,Collin
Irvine,CA,California,Orange
Davenport,IA,Iowa,Scott
Rockford,IL,Illinois,Winnebago
Newark,NJ,New Jersey,Essex
South Bend,IN,Indiana,St. Joseph
Shreveport,LA,Louisiana,Caddo
Round Lake Beach,IL,Illinois,Lake
Savannah,GA,Georgia,Chatham
Myrtle Beach,SC,South Carolina,Horry
Chula Vista,CA,California,San Diego
Eugene,OR,Oregon,Lane
Canton,OH,Ohio,Stark
Lubbock,TX,Texas,Lubbock
Reading,PA,Pennsylvania,Berks
Winter Haven,FL,Florida,Polk
Salem,OR,Oregon,Marion
St. Petersburg,FL,Florida,Pinellas
Lafayette,LA,Louisiana,Lafayette
Laredo,TX,Texas,Webb
Jersey City,NJ,New Jersey,Hudson
Concord,NC,North Carolina,Cabarrus
Columbus,GA,Georgia,Muscogee
Chandler,AZ,Arizona,Maricopa
McKinney,TX,Texas,Collin
Scottsdale,AZ,Arizona,Maricopa
Killeen,TX,Texas,Bell
Tallahassee,FL,Florida,Leon
Peoria,IL,Illinois,Peoria
Wilmington,NC,North Carolina,New Hanover
Montgomery,AL,Alabama,Montgomery
Gilbert,AZ,Arizona,Maricopa
Glendale,AZ,Arizona,Maricopa
North Las Vegas,NV,Nevada,Clark
Chesapeake,VA,Virginia,Chesapeake
Barnstable,MA,Massachusetts,Barnstable
Norfolk,VA,Virginia,Norfolk
Fremont,CA,California,Alameda
Kennewick,WA,Washington,Benton
Garland,TX,Texas,Dallas
Irving,TX,Texas,Dallas
Visalia,CA,California,Tulare
Atlantic City,NJ,New Jersey,Atlantic
Paradise,NV,Nevada,Clark
Nashua,NH,New Hampshire,Hillsborough
Arlington,VA,Virginia,Arlington
Hialeah,FL,Florida,Miami-Dade
York,PA,Pennsylvania,York
Evansville,IN,Indiana,Vanderburgh
Avondale,AZ,Arizona,Maricopa
Brownsville,TX,Texas,Cameron
Gulfport,MS,Mississippi,Harrison
Appleton,WI,Wisconsin,Outagamie
Bremerton,WA,Washington,Kitsap
Hickory,NC,North Carolina,Catawba
Tacoma,WA,Washington,Pierce
San Bernardino,CA,California,San Bernardino
College Station,TX,Texas,Brazos
Kalamazoo,MI,Michigan,Kalamazoo
Thousand Oaks,CA,California,Ventura
Roanoke,VA,Virginia,Roanoke
Fontana,CA,California,San Bernardino
Moreno Valley,CA,California,Riverside
North Port,FL,Florida,Sarasota
Fargo,ND,North Dakota,Cass
Green Bay,WI,Wisconsin,Brown
Spring Valley,NV,Nevada,Clark
Amarillo,TX,Texas,Potter
Portland,ME,Maine,Cumberland
Santa Barbara,CA,California,Santa Barbara
Gainesville,FL,Florida,Alachua
Olympia,WA,Washington,Thurston
Frisco,TX,Texas,Collin
Yonkers,NY,New York,Westchester
Norwich,CT,Connecticut,New London
Glendale,CA,California,Los Angeles
Huntington Beach,CA,California,Orange
Deltona,FL,Florida,Volusia
Aurora,IL,Illinois,Kane
Tempe,AZ,Arizona,Maricopa
Overland Park,KS,Kansas,Johnson
Grand Prairie,TX,Texas,Dallas
Sunrise Manor,NV,Nevada,Clark
Waco,TX,Texas,McLennan
Salinas,CA,California,Monterey
Waterbury,CT,Connecticut,New Haven
Clarksville,TN,Tennessee,Montgomery
Cedar Rapids,IA,Iowa,Linn
Sioux Falls,SD,South Dakota,Minnehaha
Huntington,WV,West Virginia,Cabell
Ontario,CA,California,San Bernardino
Hagerstown,MD,Maryland,Washington
Erie,PA,Pennsylvania,Erie
Vancouver,WA,Washington,Clark
Nampa,ID,Idaho,Canyon
Spartanburg,SC,South Carolina,Spartanburg
Gastonia,NC,North Carolina,Gaston
Fort Lauderdale,FL,Florida,Broward
Lorain,OH,Ohio,Lorain
Murfreesboro,TN,Tennessee,Rutherford
High Point,NC,North Carolina,Guilford
Newport News,VA,Virginia,Newport News
Rancho Cucamonga,CA,California,San Bernardino
Hemet,CA,California,Riverside
Santa Cruz,CA,California,Santa Cruz
Danbury,CT,Connecticut,Fairfield
Peoria,AZ,Arizona,Maricopa
Oceanside,CA,California,San Diego
Elk Grove,CA,California,Sacramento
Pembroke Pines,FL,Florida,Broward
Vallejo,CA,California,Solano
Garden Grove,CA,California,Orange
Enterprise,NV,Nevada,Clark
Medford,OR,Oregon,Jackson
Cary,NC,North Carolina,Wake
Marysville,WA,Washington,Snohomish
Corona,CA,California,Riverside
Ocala,FL,Florida,Marion
Fredericksburg,VA,Virginia,Fredericksburg
Gainesville,GA,Georgia,Hall
Manchester,NH,New Hampshire,Hillsborough
Bayamón,PR,Puerto Rico,Bayamón
Champaign,IL,Illinois,Champaign
Alexandria,VA,Virginia,Alexandria
Hayward,CA,California,Alameda
Springfield,IL,Illinois,Sangamon
Lakewood,CO,Colorado,Jefferson
Lafayette,IN,Indiana,Tippecanoe
Frederick,MD,Maryland,Frederick
Lake Charles,LA,Louisiana,Calcasieu
Odessa,TX,Texas,Ector
Tuscaloosa,AL,Alabama,Tuscaloosa
Warner Robins,GA,Georgia,Houston
Palmdale,CA,California,Los Angeles
Hollywood,FL,Florida,Broward
Midland,TX,Texas,Midland
Leesburg,FL,Florida,Lake
Port Arthur,TX,Texas,Jefferson
Muskegon,MI,Michigan,Muskegon
Macon,GA,Georgia,Bibb
Kansas City,KS,Kansas,Wyandotte
Sunnyvale,CA,California,Santa Clara
Pomona,CA,California,Los Angeles
Escondido,CA,California,San Diego
Pasadena,TX,Texas,Harris
New Bedford,MA,Massachusetts,Bristol
Fairfield,CA,California,Solano
Naperville,IL,Illinois,DuPage
Bellevue,WA,Washington,King
Binghamton,NY,New York,Broome
Elkhart,IN,Indiana,Elkhart
Topeka,KS,Kansas,Shawnee
Joliet,IL,Illinois,Will
Beaumont,TX,Texas,Jefferson
Paterson,NJ,New Jersey,Passaic
Merced,CA,California,Merced
Pueblo,CO,Colorado,Pueblo
Tyler,TX,Texas,Smith
Torrance,CA,California,Los Angeles
Yuma,AZ,Arizona,Yuma
Metairie,LA,Louisiana,Jefferson
Surprise,AZ,Arizona,Maricopa
Columbia,MO,Missouri,Boone
Athens,GA,Georgia,Clarke
Roseville,CA,California,Placer
Thornton,CO,Colorado,Adams
Miramar,FL,Florida,Broward
Pasadena,CA,California,Los Angeles
Mesquite,TX,Texas,Dallas
Olathe,KS,Kansas,Johnson
Santa Maria,CA,California,Santa Barbara
Houma,LA,Louisiana,Terrebonne
Carrollton,TX,Texas,Dallas
Grand Junction,CO,Colorado,Mesa
Charleston,WV,West Virginia,Kanawha
Orange,CA,California,Orange
Fullerton,CA,California,Orange
Greeley,CO,Colorado,Weld
Carolina,PR,Puerto Rico,Carolina
Las Cruces,NM,New Mexico,Doña Ana
Panama City,FL,Florida,Bay
Harlingen,TX,Texas,Cameron
West Valley City,UT,Utah,Salt Lake
Hampton,VA,Virginia,Hampton
Warren,MI,Michigan,Macomb
Mauldin,SC,South Carolina,Greenville
Bloomington,IL,Illinois,McLean
Coral Springs,FL,Florida,Broward
Round Rock,TX,Texas,Williamson
Yakima,WA,Washington,Yakima
Sterling Heights,MI,Michigan,Macomb
Kent,WA,Washington,King
Burlington,NC,North Carolina,Alamance
Bellingham,WA,Washington,Whatcom
Santa Clara,CA,California,Santa Clara
Racine,WI,Wisconsin,Racine
Greenville,NC,North Carolina,Pitt
Stamford,CT,Connecticut,Fairfield
Elizabeth,NJ,New Jersey,Union
Johnson City,TN,Tennessee,Washington
Lynchburg,VA,Virginia,Lynchburg
Simi Valley,CA,California,Ventura
Fort Smith,AR,Arkansas,Sebastian
Kenosha,WI,Wisconsin,Kenosha
Norman,OK,Oklahoma,Cleveland
South Lyon,MI,Michigan,Oakland
Boulder,CO,Colorado,Boulder
Abilene,TX,Texas,Taylor
Lehigh Acres,FL,Florida,Lee
Pearland,TX,Texas,Brazoria
Berkeley,CA,California,Alameda
Richardson,TX,Texas,Dallas
Redding,CA,California,Shasta
Arvada,CO,Colorado,Jefferson
East Los Angeles,CA,California,Los Angeles
St. George,UT,Utah,Washington
Billings,MT,Montana,Yellowstone
Yuba City,CA,California,Sutter
Rochester,MN,Minnesota,Olmsted
Leominster,MA,Massachusetts,Worcester
Kingsport,TN,Tennessee,Sullivan
Duluth,MN,Minnesota,St. Louis
Rock Hill,SC,South Carolina,York
Gilroy,CA,California,Santa Clara
Cambridge,MA,Massachusetts,Middlesex
Sugar Land,TX,Texas,Fort Bend
Texas City,TX,Texas,Galveston
Iowa City,IA,Iowa,Johnson
Saginaw,MI,Michigan,Saginaw
Chico,CA,California,Butte
Dover,DE,Delaware,Kent
Clearwater,FL,Florida,Pinellas
Coeur d'Alene,ID,Idaho,Kootenai
Seaside,CA,California,Monterey
Independence,MO,Missouri,Jackson
West Jordan,UT,Utah,Salt Lake
Brandon,FL,Florida,Hillsborough
Bloomington,IN,Indiana,Monroe
El Monte,CA,California,Los Angeles
North Charleston,SC,South Carolina,Charleston
Carlsbad,CA,California,San Diego
St. Cloud,MN,Minnesota,Stearns
Temecula,CA,California,Riverside
Clovis,CA,California,Fresno
Meridian,ID,Idaho,Ada
The Woodlands,TX,Texas,Montgomery
Ponce,PR,Puerto Rico,Ponce
Westminster,CO,Colorado,Adams
Costa Mesa,CA,California,Orange
Monroe,LA,Louisiana,Ouachita
Utica,NY,New York,Oneida
Pompano Beach,FL,Florida,Broward
West Palm Beach,FL,Florida,Palm Beach
Waterloo,IA,Iowa,Black Hawk
Everett,WA,Washington,Snohomish
El Centro,CA,California,Imperial
Santa Fe,NM,New Mexico,Santa Fe
Downey,CA,California,Los Angeles
Spring Hill,FL,Florida,Hernando
Lowell,MA,Massachusetts,Middlesex
Centennial,CO,Colorado,Arapahoe
Elgin,IL,Illinois,Kane
Richmond,CA,California,Contra Costa
Broken Arrow,OK,Oklahoma,Tulsa
Miami Gardens,FL,Florida,Miami-Dade
Bend,OR,Oregon,Deschutes
Burlington,VT,Vermont,Chittenden
Jurupa Valley,CA,California,Riverside
Sandy Springs,GA,Georgia,Fulton
Gresham,OR,Oregon,Multnomah
Lewisville,TX,Texas,Denton
Hillsboro,OR,Oregon,Washington
San Buenaventura,CA,California,Ventura
Jacksonville,NC,North Carolina,Onslow
Pottstown,PA,Pennsylvania,Montgomery
Inglewood,CA,California,Los Angeles
League City,TX,Texas,Galveston
Eau Claire,WI,Wisconsin,Eau Claire
Turlock,CA,California,Stanislaus
Temple,TX,Texas,Bell
Sioux City,IA,Iowa,Woodbury
Salisbury,MD,Maryland,Wicomico
Davie,FL,Florida,Broward
Daly City,CA,California,San Mateo
Highlands Ranch,CO,Colorado,Douglas
Allen,TX,Texas,Collin
West Covina,CA,California,Los Angeles
Sparks,NV,Nevada,Washoe
Wichita Falls,TX,Texas,Wichita
San Mateo,CA,California,San Mateo
Columbia,MD,Maryland,Howard
Norwalk,CA,California,Los Angeles
Rialto,CA,California,San Bernardino
Manteca,CA,California,San Joaquin
Arden-Arcade,CA,California,Sacramento
El Cajon,CA,California,San Diego
Burbank,CA,California,Los Angeles
Longmont,CO,Colorado,Boulder
Renton,WA,Washington,King
Vista,CA,California,San Diego
Logan,UT,Utah,Cache
Prescott Valley,AZ,Arizona,Yavapai
Vacaville,CA,California,Solano
Edinburg,TX,Texas,Hidalgo
Carmel,IN,Indiana,Hamilton
Spokane Valley,WA,Washington,Spokane
San Angelo,TX,Texas,Tom Green
La Crosse,WI,Wisconsin,La Crosse
Idaho Falls,ID,Idaho,Bonneville
Holland,MI,Michigan,Ottawa
Charlottesville,VA,Virginia,Charlottesville
Longview,TX,Texas,Gregg
Tracy,CA,California,San Joaquin
Boca Raton,FL,Florida,Palm Beach
Lafayette,CO,Colorado,Boulder
Lee's Summit,MO,Missouri,Jackson
Rio Rancho,NM,New Mexico,Sandoval
South Fulton,GA,Georgia,Fulton
Beaverton,OR,Oregon,Washington
Lawrence,KS,Kansas,Douglas
Bismarck,ND,North Dakota,Burleigh
Orem,UT,Utah,Utah
Middletown,OH,Ohio,Butler
San Tan Valley,AZ,Arizona,Pinal
San Marcos,CA,California,San Diego
Sandy,UT,Utah,Salt Lake
Federal Way,WA,Washington,King
Mandeville,LA,Louisiana,St. Tammany
Hesperia,CA,California,San Bernardino
Brockton,MA,Massachusetts,Plymouth
Compton,CA,California,Los Angeles
Riverview,FL,Florida,Hillsborough
Fishers,IN,Indiana,Hamilton
Sunrise,FL,Florida,Broward
Bowling Green,KY,Kentucky,Warren
Roswell,GA,Georgia,Fulton
Menifee,CA,California,Riverside
Plantation,FL,Florida,Broward
Dover,NH,New Hampshire,Strafford
Quincy,MA,Massachusetts,Norfolk
Portsmouth,VA,Virginia,Portsmouth
Chino,CA,California,San Bernardino
Lynn,MA,Massachusetts,Essex
Edmond,OK,Oklahoma,Oklahoma
Hanford,CA,California,Kings
Dearborn,MI,Michigan,Wayne
Livonia,MI,Michigan,Wayne
South Gate,CA,California,Los Angeles
Vineland,NJ,New Jersey,Cumberland
Florence,SC,South Carolina,Florence
Portsmouth,NH,New Hampshire,Rockingham
Slidell,LA,Louisiana,St. Tammany
Lawton,OK,Oklahoma,Comanche
Kirkland,WA,Washington,King
Missoula,MT,Montana,Missoula
Auburn,AL,Alabama,Lee
Rapid City,SD,South Dakota,Pennington
Terre Haute,IN,Indiana,Vigo
Suffolk,VA,Virginia,Suffolk
Blacksburg,VA,Virginia,Montgomery
Mount Pleasant,SC,South Carolina,Charleston
Carson,CA,California,Los Angeles
Conroe,TX,Texas,Montgomery
Alafaya,FL,Florida,Orange
Livermore,CA,California,Alameda
Westminster,CA,California,Orange
Germantown,MD,Maryland,Montgomery
Santa Monica,CA,California,Los Angeles
New Braunfels,TX,Texas,Comal
Fall River,MA,Massachusetts,Bristol
Albany,GA,Georgia,Dougherty
Miami Beach,FL,Florida,Miami-Dade
Norwalk,CT,Connecticut,Fairfield
San Leandro,CA,California,Alameda
O'Fallon,MO,Missouri,St. Charles
Newton,MA,Massachusetts,Middlesex
Muncie,IN,Indiana,Delaware
Citrus Heights,CA,California,Sacramento
State College,PA,Pennsylvania,Centre
Town 'n' Country,FL,Florida,Hillsborough
Decatur,IL,Illinois,Macon
Jackson,MI,Michigan,Jackson
Fort Myers,FL,Florida,Lee
Goodyear,AZ,Arizona,Maricopa
Dalton,GA,Georgia,Whitfield
Bryan,TX,Texas,Brazos
Waukegan,IL,Illinois,Lake
Hawthorne,CA,California,Los Angeles
Anderson,IN,Indiana,Madison
Redwood City,CA,California,San Mateo
Hoover,AL,Alabama,Jefferson
Lake Forest,CA,California,Orange
Napa,CA,California,Napa
Whittier,CA,California,Los Angeles
Clifton,NJ,New Jersey,Passaic
Largo,FL,Florida,Pinellas
Bloomington,MN,Minnesota,Hennepin
Johns Creek,GA,Georgia,Fulton
Newport Beach,CA,California,Orange
Mission,TX,Texas,Hidalgo
Milpitas,CA,California,Santa Clara
Troy,MI,Michigan,Oakland
Madera,CA,California,Madera
Joplin,MO,Missouri,Jasper
Chino Hills,CA,California,San Bernardino
Alhambra,CA,California,Los Angeles
Franklin,TN,Tennessee,Williamson
Melbourne,FL,Florida,Brevard
Port Huron,MI,Michigan,St. Clair
Springfield,OH,Ohio,Clark
Mountain View,CA,California,Santa Clara
Zephyrhills,FL,Florida,Pasco
St. Augustine,FL,Florida,St. Johns
Flagstaff,AZ,Arizona,Coconino
Buena Park,CA,California,Orange
Pleasanton,CA,California,Alameda
Silver Spring,MD,Maryland,Montgomery
Atascocita,TX,Texas,Harris
Westland,MI,Michigan,Wayne
Auburn,WA,Washington,King
Cranston,RI,Rhode Island,Providence
Somerville,MA,Massachusetts,Middlesex
Folsom,CA,California,Sacramento
Springdale,AR,Arkansas,Washington
Deerfield Beach,FL,Florida,Broward
Warwick,RI,Rhode Island,Kent
Cicero,IL,Illinois,Cook
Farmington Hills,MI,Michigan,Oakland
Newark,OH,Ohio,Licking
Williamsburg,VA,Virginia,Williamsburg
Brooklyn Park,MN,Minnesota,Hennepin
Hattiesburg,MS,Mississippi,Forrest
Alexandria,LA,Louisiana,Rapides
Lawrence,MA,Massachusetts,Essex
Florence,AL,Alabama,Lauderdale
Valdosta,GA,Georgia,Lowndes
Plymouth,MN,Minnesota,Hennepin
Buckeye,AZ,Arizona,Maricopa
Georgetown,TX,Texas,Williamson
Cheyenne,WY,Wyoming,Laramie
Cedar Park,TX,Texas,Williamson
The Villages,FL,Florida,Sumter
Kokomo,IN,Indiana,Howard
Tustin,CA,California,Orange
Lakewood,CA,California,Los Angeles
Perris,CA,California,Riverside
St. Joseph,MO,Missouri,Buchanan
Flower Mound,TX,Texas,Denton
Pharr,TX,Texas,Hidalgo
Pine Hills,FL,Florida,Orange
Alton,IL,Illinois,Madison
Loveland,CO,Colorado,Larimer
Boynton Beach,FL,Florida,Palm Beach
New Rochelle,NY,New York,Westchester
Anderson,SC,South Carolina,Anderson
Jonesboro,AR,Arkansas,Craighead
Lebanon,PA,Pennsylvania,Lebanon
Parma,OH,Ohio,Cuyahoga
Layton,UT,Utah,Davis
Elizabethtown,KY,Kentucky,Hardin
Texarkana,TX,Texas,Bowie
Alameda,CA,California,Alameda
Kankakee,IL,Illinois,Kankakee
Watsonville,CA,California,Santa Cruz
Porterville,CA,California,Tulare
Baytown,TX,Texas,Harris
Upland,CA,California,San Bernardino
Davis,CA,California,Yolo
Camarillo,CA,California,Ventura
South Jordan,UT,Utah,Salt Lake
Battle Creek,MI,Michigan,Calhoun
Bellflower,CA,California,Los Angeles
San Marcos,TX,Texas,Hays
San Ramon,CA,California,Contra Costa
Lake Jackson,TX,Texas,Brazoria
Bethlehem,PA,Pennsylvania,Northampton
Wyoming,MI,Michigan,Kent
Oshkosh,WI,Wisconsin,Winnebago
Hammond,IN,Indiana,Lake
Waldorf,MD,Maryland,Charles
Missouri City,TX,Texas,Fort Bend
Pasco,WA,Washington,Franklin
Wheeling,WV,West Virginia,Ohio
Kendall,FL,Florida,Miami-Dade
Baldwin Park,CA,California,Los Angeles
Rancho Cordova,CA,California,Sacramento
Conway,AR,Arkansas,Faulkner
Gary,IN,Indiana,Lake
Altoona,PA,Pennsylvania,Blair
Lodi,CA,California,San Joaquin
Arlington Heights,IL,Illinois,Cook
Bolingbrook,IL,Illinois,Will
Rochester Hills,MI,Michigan,Oakland
Winchester,VA,Virginia,Winchester
Framingham,MA,Massachusetts,Middlesex
Hilton Head Island,SC,South Carolina,Beaufort
Centreville,VA,Virginia,Fairfax
Union City,CA,California,Alameda
Owensboro,KY,Kentucky,Daviess
Jackson,TN,Tennessee,Madison
Cleveland,TN,Tennessee,Bradley
Wausau,WI,Wisconsin,Marathon
Camden,NJ,New Jersey,Camden
Anniston,AL,Alabama,Calhoun
Evanston,IL,Illinois,Cook
Apple Valley,CA,California,San Bernardino
Mansfield,OH,Ohio,Richland
Caguas,PR,Puerto Rico,Caguas
Schaumburg,IL,Illinois,Cook
Pocatello,ID,Idaho,Bannock
Woodbury,MN,Minnesota,Washington
Southfield,MI,Michigan,Oakland
Ellicott City,MD,Maryland,Howard
Dale City,VA,Virginia,Prince William
Maple Grove,MN,Minnesota,Hennepin
Pittsburg,CA,California,Contra Costa
New Britain,CT,Connecticut,Hartford
Morgantown,WV,West Virginia,Monongalia
Mansfield,TX,Texas,Tarrant
Hammond,LA,Louisiana,Tangipahoa
Dothan,AL,Alabama,Houston
Harrisonburg,VA,Virginia,Harrisonburg
Wenatchee,WA,Washington,Chelan
Waukesha,WI,Wisconsin,Waukesha
Pawtucket,RI,Rhode Island,Providence
Redmond,WA,Washington,King
Lauderhill,FL,Florida,Broward
Sumter,SC,South Carolina,Sumter
Redlands,CA,California,San Bernardino
Daphne,AL,Alabama,Baldwin
Mount Vernon,WA,Washington,Skagit
Weston,FL,Florida,Broward
St. Charles,MO,Missouri,St. Charles
Janesville,WI,Wisconsin,Rock
Sherman,TX,Texas,Grayson
North Richland Hills,TX,Texas,Tarrant
Broomfield,CO,Colorado,Broomfield
El Paso de Robles,CA,California,San Luis Obispo
Bristol,TN,Tennessee,Sullivan
Wilmington,DE,Delaware,New Castle
Casas Adobes,AZ,Arizona,Pima
Walnut Creek,CA,California,Contra Costa
Poinciana,FL,Florida,Polk
Lynwood,CA,California,Los Angeles
Glen Burnie,MD,Maryland,Anne Arundel
Lehi,UT,Utah,Utah
Passaic,NJ,New Jersey,Passaic
Homestead,FL,Florida,Miami-Dade
West Bend,WI,Wisconsin,Washington
Delray Beach,FL,Florida,Palm Beach
Sheboygan,WI,Wisconsin,Sheboygan
Lake Elsinore,CA,California,Riverside
Daytona Beach,FL,Florida,Volusia
Los Lunas,NM,New Mexico,Valencia
Lima,OH,Ohio,Allen
Decatur,AL,Alabama,Morgan
Rocklin,CA,California,Placer
Rogers,AR,Arkansas,Benton
Castle Rock,CO,Colorado,Douglas
Hanover,PA,Pennsylvania,York
Bossier City,LA,Louisiana,Bossier
Dubuque,IA,Iowa,Dubuque
Rockville,MD,Maryland,Montgomery
Victoria,TX,Texas,Victoria
Saratoga Springs,NY,New York,Saratoga
Guaynabo,PR,Puerto Rico,Guaynabo
Gaithersburg,MD,Maryland,Montgomery
Union City,NJ,New Jersey,Hudson
Ames,IA,Iowa,Story
West Des Moines,IA,Iowa,Polk
South San Francisco,CA,California,San Mateo
Yorba Linda,CA,California,Orange
Casper,WY,Wyoming,Natrona
Palatine,IL,Illinois,Cook
Corvallis,OR,Oregon,Benton
Ankeny,IA,Iowa,Polk
Mount Vernon,NY,New York,Westchester
Rowlett,TX,Texas,Dallas
Lakeville,MN,Minnesota,Dakota
Alpharetta,GA,Georgia,Fulton
Longview,WA,Washington,Cowlitz
DeKalb,IL,Illinois,DeKalb
Petaluma,CA,California,Sonoma
Redondo Beach,CA,California,Los Angeles
Tamarac,FL,Florida,Broward
Laguna Niguel,CA,California,Orange
Eagan,MN,Minnesota,Dakota
Kenner,LA,Louisiana,Jefferson
Bay City,MI,Michigan,Bay
North Little Rock,AR,Arkansas,Pulaski
Sammamish,WA,Washington,King
Shawnee,KS,Kansas,Johnson
Jupiter,FL,Florida,Palm Beach
Doral,FL,Florida,Miami-Dade
Florence-Graham,CA,California,Los Angeles
Carbondale,IL,Illinois,Jackson
Blaine,MN,Minnesota,Anoka
